Datetime,Close,High,Low,Open,Volume
2025-06-16 04:59:00+00:00,57200,57200,57050,57100,216975
2025-06-16 05:00:00+00:00,57150,57200,57100,57200,29016
2025-06-16 05:01:00+00:00,57200,57200,57100,57150,41087
2025-06-16 05:02:00+00:00,57150,57200,57100,57150,14091
2025-06-16 05:03:00+00:00,57150,57150,57100,57150,17854
2025-06-16 05:04:00+00:00,57150,57200,57100,57150,41362
2025-06-16 05:05:00+00:00,57200,57300,57100,57100,668594
2025-06-16 05:06:00+00:00,57300,57300,57200,57200,44926
2025-06-16 05:07:00+00:00,57350,57400,57250,57300,186685
2025-06-16 05:08:00+00:00,57500,57500,57300,57350,128257
2025-06-16 05:09:00+00:00,57500,57600,57400,57400,113577
2025-06-16 05:10:00+00:00,57600,57600,57400,57500,37552
2025-06-16 05:11:00+00:00,57400,57600,57400,57600,103858
2025-06-16 05:12:00+00:00,57450,57600,57400,57400,90269
2025-06-16 05:13:00+00:00,57400,57450,57300,57400,134873
2025-06-16 05:14:00+00:00,57300,57400,57300,57400,81165
2025-06-16 05:15:00+00:00,57400,57400,57200,57300,111176
2025-06-16 05:16:00+00:00,57350,57400,57300,57300,16147
2025-06-16 05:17:00+00:00,57300,57400,57300,57300,21427
2025-06-16 05:18:00+00:00,57400,57400,57300,57400,17022
2025-06-16 05:19:00+00:00,57300,57400,57300,57350,22389
2025-06-16 05:20:00+00:00,57300,57400,57300,57300,20876
2025-06-16 05:21:00+00:00,57300,57400,57200,57300,242605
2025-06-16 05:22:00+00:00,57350,57400,57300,57300,14614
2025-06-16 05:23:00+00:00,57200,57350,57200,57300,76428
2025-06-16 05:24:00+00:00,57300,57300,57200,57250,28788
2025-06-16 05:25:00+00:00,57300,57300,57200,57300,23510
2025-06-16 05:26:00+00:00,57300,57300,57200,57200,10276
2025-06-16 05:27:00+00:00,57200,57300,57200,57300,15669
2025-06-16 05:28:00+00:00,57250,57300,57200,57300,11740
2025-06-16 05:29:00+00:00,57250,57250,57200,57200,64682
2025-06-16 05:30:00+00:00,57250,57250,57200,57200,11583
2025-06-16 05:31:00+00:00,57250,57250,57200,57200,11683
2025-06-16 05:32:00+00:00,57200,57300,57200,57250,75752
2025-06-16 05:33:00+00:00,57250,57300,57200,57200,16434
2025-06-16 05:34:00+00:00,57200,57250,57200,57250,10350
2025-06-16 05:35:00+00:00,57250,57250,57200,57200,11558
2025-06-16 05:36:00+00:00,57250,57300,57200,57200,14912
2025-06-16 05:37:00+00:00,57300,57300,57200,57250,16261
2025-06-16 05:38:00+00:00,57250,57300,57200,57200,33726
2025-06-16 05:39:00+00:00,57250,57300,57200,57250,13295
2025-06-16 05:40:00+00:00,57200,57300,57200,57250,15545
2025-06-16 05:41:00+00:00,57200,57300,57200,57300,27024
2025-06-16 05:42:00+00:00,57200,57250,57200,57250,17038
2025-06-16 05:43:00+00:00,57250,57250,57200,57250,14857
2025-06-16 05:44:00+00:00,57200,57250,57200,57200,18548
2025-06-16 05:45:00+00:00,57200,57250,57100,57200,157853
2025-06-16 05:46:00+00:00,57200,57200,57100,57100,69056
2025-06-16 05:47:00+00:00,57250,57300,57100,57150,224664
2025-06-16 05:48:00+00:00,57200,57300,57200,57200,19614
2025-06-16 05:49:00+00:00,57200,57300,57200,57250,29094
2025-06-16 05:50:00+00:00,57200,57300,57200,57200,17708
2025-06-16 05:51:00+00:00,57200,57300,57200,57300,13643
2025-06-16 05:52:00+00:00,57200,57300,57200,57250,24888
2025-06-16 05:53:00+00:00,57300,57300,57200,57200,13680
2025-06-16 05:54:00+00:00,57250,57300,57200,57300,16531
2025-06-16 05:55:00+00:00,57400,57400,57200,57300,203591
2025-06-16 05:56:00+00:00,57300,57400,57200,57350,130601
2025-06-16 05:57:00+00:00,57250,57300,57200,57200,16522
2025-06-16 05:58:00+00:00,57200,57300,57200,57200,16642
2025-06-16 05:59:00+00:00,57250,57300,57200,57200,27589
2025-06-17 00:00:00+00:00,57800,58000,57700,57800,652067
2025-06-17 00:01:00+00:00,57600,57900,57600,57850,181426
2025-06-17 00:02:00+00:00,57600,57800,57600,57650,111706
2025-06-17 00:03:00+00:00,57600,57700,57400,57600,392431
2025-06-17 00:04:00+00:00,57500,57700,57500,57600,72986
2025-06-17 00:05:00+00:00,57900,57900,57500,57550,145426
2025-06-17 00:06:00+00:00,57800,57900,57700,57800,150463
2025-06-17 00:07:00+00:00,57800,57900,57700,57800,85029
2025-06-17 00:08:00+00:00,58000,58000,57700,57800,91443
2025-06-17 00:09:00+00:00,58300,58300,57900,58000,348028
2025-06-17 00:10:00+00:00,58500,58500,58200,58300,270529
2025-06-17 00:11:00+00:00,58400,58500,58300,58500,172767
2025-06-17 00:12:00+00:00,58600,58700,58300,58400,301613
2025-06-17 00:13:00+00:00,58700,58800,58500,58600,305656
2025-06-17 00:14:00+00:00,58800,58900,58700,58700,261718
2025-06-17 00:15:00+00:00,58900,58950,58700,58800,240204
2025-06-17 00:16:00+00:00,59050,59100,58800,58900,327966
2025-06-17 00:17:00+00:00,59200,59300,59000,59050,298171
2025-06-17 00:18:00+00:00,59100,59400,58900,59200,406127
2025-06-17 00:19:00+00:00,58900,59200,58900,59100,238168
2025-06-17 00:20:00+00:00,58800,59000,58800,58900,178383
2025-06-17 00:21:00+00:00,59000,59100,58800,58900,275117
2025-06-17 00:22:00+00:00,59200,59200,59000,59000,217903
2025-06-17 00:23:00+00:00,59100,59200,59100,59100,49852
2025-06-17 00:24:00+00:00,59000,59200,59000,59100,131265
2025-06-17 00:25:00+00:00,59000,59200,59000,59050,268102
